Weight Height Age
80 180 20
90 150 21
92 152 25
80 180 20
90 150 21
92 152 25
80 180 20
90 150 21
92 152 25
80 180 20
90 150 21
92 152 25
80 180 20
90 150 21
92 152 25
80 180 20
90 150 21
92 152 25
80 180 20
90 150 21
92 152 25
80 180 20
90 150 21
92 152 25
80 180 20
90 150 21
92 152 25
80 180 20
90 150 21
92 152 25
80 180 20
90 150 21
92 152 25
80 180 20
90 150 21
92 152 25
80 180 20
90 150 21
92 152 25
80 180 20
90 150 21
92 152 25
80 180 20
90 150 21
92 152 25
80 180 20
90 150 21
92 152 25
80 180 20
90 150 21
92 152 25

